,id,pool-id,user-id,fee-liquidated,liquidated-collateral-for-free,date,method
0,0xe68311207f0d250ff8dea862bc98fd8276f2bc2bb460c3990173feb212d6de78:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x5e46f0d1b3e1cf21d584fb557f98eb3ea4a19059,800000000000000,2123320584305,2022-06-20 13:48:57,origination-fee-liquidation
1,0x9d87ca9517b59a49844b6946fc85f58cbf461f4177f6a4e3caf33e85bf9c8722:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x79e531f50f55e05b1fa8c9356c2805f603f5b70d,340,373038619828,2022-06-19 04:31:03,origination-fee-liquidation
2,0xa5f677d0349707b75c76c674a34ebb5974af79c859e55da0ff90782a0af8cc0c:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x65f68f68c04f95a3f226fe1a6b6b956548963cb8,200000000000000,1,2022-06-18 21:47:25,origination-fee-liquidation
3,0x1b9c8548ed0fa8a7d6092e45b4f67d6061041d93c6e4e7da92f0924dadaca6ec:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xb52d61cf08c7528f456234234c65bda96f49080c,1,354604836539,2022-06-18 20:24:10,origination-fee-liquidation
4,0x7c729042baa05058e65b5de26d6ecea2d3cf8e4de743d046158bcccc4ca9a409:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xa26e2441b2a4b0962ff3f3e7b6b160aac7872d10,160,0,2022-06-17 00:53:17,origination-fee-liquidation
5,0xee7b0f71435b34f4f0bf024a47cc18ceefb96089d5b592e0f9eca53e509b2e31:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x3f5f4aedba5b7ffc27902f89824c61be40ee37d5,100,139881258727,2022-06-16 09:27:11,origination-fee-liquidation
6,0x8d934f68de3fbb05c7ab46550249efa63a877d5d54e60dc7e86d0aaaee982a56:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xbafed9388b41abc865c68a7eac01e13ac7f082f9,80,0,2022-06-16 09:27:11,origination-fee-liquidation
7,0x0fcadb3ed27d20af62490549f749ba56e41319a2884ccf2399e7638755207024:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x39541c578c195985712f6719dba410dea3b472a9,5100000000000000,5142686272214,2022-06-15 11:02:52,origination-fee-liquidation
8,0x531d964e23ee64a309d4845e174693a814d6a48dd4d3648dfc4378e84cab512b:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xbbbf48ce72e83420e5408e80a73d61c540b1a9c8,592402,597018746068731,2022-06-15 10:50:23,origination-fee-liquidation
9,0x5eb802ad056ec3a71f85f80fd6d94d4a6655d5111c1a5b3db14fcea7a75fb539:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xd9a08adef10f3ee568a30880c3f4bcea9335a09f,200,171931200000,2022-06-14 09:16:32,origination-fee-liquidation
10,0xd51c1cbf3b9a78a6619124e37acd21172f54dc1d2222342169207c4efd70bf13:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x304b9ae195211778778d0caf07937b11929ba58b,1000,204634461424874,2022-06-13 13:30:33,origination-fee-liquidation
11,0x4b1726340ef5298011140f620026c7baa323a68a232806a1b3d74fab2e80de06:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x94141ffd2af58dd11f5c390815bbc390e30282fb,6575,5822700969487,2022-06-13 13:28:32,origination-fee-liquidation
12,0x9896abc9be00a9360a1d798441bbbd58136c1c3fb70b72f8287f733953c0ba02:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xdad9396be1f733a3395a5628a98645f7c855a4dd,500,100627257899880,2022-06-13 13:13:05,origination-fee-liquidation
13,0xeae47234ff7c9c2ff8d9eb204b834539f8ff909c639bc35c076470d4184e2135:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x1f0aeaee69468727ba258b0cf692e6bfecc2e286,30000,6081042757429821,2022-06-13 11:02:15,origination-fee-liquidation
14,0xbfd1eccbaea0f6d523b6b345f597cbec0549120520968eb544718e1d65928267:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xbe9c45d2b35e6786ee02cd9b6e53175477003584,3000000000000000,2442856500000,2022-06-13 10:01:39,origination-fee-liquidation
15,0x7efa150f21d6f0876ba201f7ae2077e27a786271ce160b7fd87b0cf8bbc5fd8c:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x5d8a0dbb99e46fe5e06c98d3883e5f030f124e26,1000,794568157570,2022-06-13 08:08:20,origination-fee-liquidation
16,0x2fd87c8ac4e255763b43b61e95526aa04ae40844fcd92fb7b6ba8ad31251a1e6:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x1ad8f000063ffc26385bf341f0063d680b4f96f4,1450,1140436709475,2022-06-13 07:59:28,origination-fee-liquidation
