,id,pool-id,user-id,amount,date,method
0,0x606e33d32a44100b4e1a5b494c98e74f43479ea155c7bfc767b3ee96e4fbd78c:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x10271004853b0ed02eb73c333782402d478340ba,3500982326398097377255,2022-06-27 17:24:59,redeem-underlying
1,0x642f59ea426cbf90a95ce25f47617ab311fcf81700d1da50e2944e15d45d8608:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x18af092ca36fd264035c4d98438f855dab09de9e,216997503,2022-06-27 07:12:16,redeem-underlying
2,0x937d94c6eb9598ec4902af0989b4ebcaed16d242f565cd2836b5c09f97a19b3e:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x18af092ca36fd264035c4d98438f855dab09de9e,234298232,2022-06-27 07:10:48,redeem-underlying
3,0x82dfb8766db76bb0646a83714478780f11218724086fb49644c6a7a00d928897:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xbb7d75be4dc8eb15ff90422137c0a5bcbd316953,258941199097,2022-06-26 20:29:42,redeem-underlying
4,0xb7a92ae82f0232f27afd4891bb4f9edd45dfd9371543d32694a0a4f24137e120:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x795999c6a1fe04b4e3bd29eacf3d10d84205db75,36516752,2022-06-26 13:04:52,redeem-underlying
5,0xa2237a26d0dd39e59df948addd1853f372ff81adcbc1f31456167113b90448ad:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x882e11f884e9d221706db9a36ba4856292b26d87,31224677902148643304,2022-06-26 12:59:31,redeem-underlying
6,0x220b0c41e69ae7581c1169f1d21c70979f35a6911b093796bf0d7ea72141d5db:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x882e11f884e9d221706db9a36ba4856292b26d87,69484391746502537326,2022-06-26 12:56:18,redeem-underlying
7,0x4a435a27a168916d728d0d12c27fe2b3ca4831849095427b104d4568b168491e:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x83aef2a3bda741114ec8cef95245b19ba595a645,88313030890854064881,2022-06-25 23:55:57,redeem-underlying
8,0x422d93f601d2ce1f8eb260547cdd7a80c827a18c76cbe389f5d1e61210f42a22:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x819baa372b018d7d3d67453a407633a331e52f72,5406568186742166,2022-06-25 19:30:00,redeem-underlying
9,0xf9a77b936c11bb1c87db98ad500600fa3a030ca822bf321a56f9bc02d86c54c3:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xf542ab253629f3ea9fcb9d9d4c67623eacf22966,237279462,2022-06-25 08:45:48,redeem-underlying
10,0x35e4bd3efa10b461c664e2195fd65b4a76f06cd80e4b86477c7ec7d718de40c4:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x69bab6810fa99475854bca0a3dd72ae6a0728ece,11275776598169647428,2022-06-25 06:18:04,redeem-underlying
11,0x07a05033165163a77d3e94f8febc8b82a79b801a04735b6da81921fef88f950c:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x3ee8c1255b0bec4e6ed76343afcbb2adcc1ade74,374373980517000074302,2022-06-25 03:08:03,redeem-underlying
12,0x7c3b8a559b0a71310b6bc92d969e36b12df1dc368aa45aa98a8e86ff155b77e5:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x66511e631214c61e79546024871a94a14e24c074,1029768033065225070493,2022-06-25 02:09:01,redeem-underlying
13,0xf0bc4e1f6f250f35f6e28ba697d8fd48778a3c4583e0ffc7dd52cb9ff9eafdce:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x9271e3120b39bcd74798a4e23bfb522ce29d956d,241788541184629319747,2022-06-25 01:23:30,redeem-underlying
14,0xc2924162a81902262d1eeb4db09bdbb1365e39c4452855c7a4bd3889026890fe:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xe071db3cccd68410e0f84ffdc60340808a9c915a,107741567908531160810,2022-06-24 23:51:24,redeem-underlying
